Population,MortalityRate,NatalityRate,GDP,GDP_PC
15866869,3.760161660102991,6.68,6152936539.21955,387.785124062555
16395473,3.6318552976531273,6.64,9129634978.33773,556.838631674927
16945753,3.490078015417786,6.6,8936063723.20121,527.333528536691
17519417,3.3348139761263758,6.57,15285594828.418,872.494441791273
18121479,3.1656911851059384,6.53,17812705294.325,982.96100777685
18758145,2.9772144761916137,6.5,23552052407.5488,1255.56451325546
19433602,2.779926975974194,6.46,36970918699.2523,1902.42214975937
20149901,2.5795158835736447,6.42,52381006892.038,2599.56594793067
20905363,2.3843167493886734,6.37,65266452081.386,3121.99608528081
21695634,2.189426481897097,6.32,88538611205.1433,4080.94103372417
22514281,2.0110352209875733,6.26,70307163678.238,3122.7815987074
23356246,1.8443459687680133,6.19,83799496611.2004,3587.88364462837
24220661,1.6857509250367249,6.12,111789686464.441,4615.46821863819
25107931,1.5413061812156919,6.04,128052853643.106,5100.09702685927
26015780,1.4144104660147496,5.95,136709862831.194,5254.88112606683
26941779,1.3020672395985222,5.86,145712200312.505,5408.41170002082
27884381,1.2058005234471771,5.77,116193649124.151,4166.97983330278
28842484,1.1238283861978313,5.69,101123851090.455,3506.07312818832
29816748,1.0495771691426392,5.6,122123822333.59,4095.8100568707
54131,0.7389344565137073,4.43,,
55001,0.6726661212617034,4.39,,
55841,0.6087844007950008,4.34,,
56702,0.5467275709423114,4.3,,
57641,0.46841657847712564,4.25,,
58698,0.40886556840832045,4.19,,
59915,0.3672052343437041,4.13,,
61241,0.310254735467015,4.04,,
62521,0.2718999408217776,3.94,,
63550,0.23602347646845942,3.82,,
64177,0.2025426897669201,3.68,,
64357,0.18646859558069429,3.52,,
64133,0.17151588860822653,3.33,,
63650,0.14140049333061006,3.12,,
63120,0.126766812448501,2.91,,
62675,0.11169440411035407,2.7,,
62367,0.11226404503391978,2.52,,
62159,0.09652199092693285,2.36,77496753.7037037,1246.69015964261
62036,0.08059576388665012,2.24,87879341.4814815,1416.54053131116
61952,0.06457028475495577,2.16,109079978.888889,1760.83132448003
61865,0.08082636879455553,2.12,131431026.666667,2124.61852648141
61800,0.048552331321108935,2.1,147841734.444444,2392.68695794469
61779,0.06474587245063126,2.1,164369278.888889,2660.55809143556
61787,0.04856019035594619,2.1,182144092.962963,2948.31727549755
61786,0.048556260520523115,2.1,208372846.296296,3372.60207005529
61786,0.048555474629764506,2.09,240923924.814815,3899.39183968301
61754,0.032386566052401464,2.08,290440140.740741,4703.17940118439
61717,0.0324080825757944,2.07,337174861.851852,5463.59538268844
61771,0.0485767026134266,2.07,398637727.777778,6454.83545091774
62008,0.04838163433160772,2.06,438794788.518519,7076.53633490604
62528,0.04797466937457023,2.07,459470370.37037,7347.64636864328
63367,0.04734624307561195,2.08,481707407.407407,7602.34533414465
64471,0.046541212243441564,2.09,499281481.481481,7745.72179961652
65777,0.06081152986606261,2.11,535174074.074074,8136.18854727449
67204,0.059522923766015395,2.13,589429629.62963,8771.14372746878
68670,0.04368592730661696,2.15,577281481.481481,8406.35894515205
70173,0.042749658002735974,2.17,633729629.62963,9030.5749776224
71704,0.04183691968705985,2.19,680618518.518518,9491.66076559497
73224,0.054630628661959335,2.2,727859259.259259,9940.85222769034
74674,0.05356616760853844,2.2,766200000.0,10260.5994054155
76016,0.052626731748391595,2.2,826370370.37037,10872.2929515751
77212,0.03885406413510853,2.19,800481481.481481,10367.3196068161
78295,0.03831515492094306,2.17,814381481.481481,10401.0508759034
79300,0.037825774482732534,2.14,856396296.296296,10797.9510571837
80336,0.03733804622450123,2.11,919729629.62963,11446.9691417182
81465,0.03682698681593872,2.08,1022962962.96296,12557.5478500769
82704,0.024179411231336517,2.05,1157662962.96296,13995.8044243845
84026,0.023801306691737377,2.02,1312759259.25926,15622.6928710238
85397,0.023420849239993442,2.01,1370070370.37037,16044.1057963132
86746,0.023056615519407908,1.99,1228329629.62963,14160.5620007335
88028,0.022719527433829375,1.99,1148700000.0,13048.9605816199
89253,0.022408963585434174,1.99,1137637037.03704,12746.6334682021
90409,0.022122180804583717,1.99,1199948148.14815,13272.7349447294
91516,0.021855534914217024,2.0,1181448148.14815,12910.5906255945
92562,0.02160713899872518,2.0,1249733333.33333,13501.5809223367
93566,0.010687071849184042,2.0,1336692592.59259,14285.3297773091
94527,0.010579771476936098,2.0,1436585185.18519,15198.7429664112
95426,0.02095886822111606,2.0,1467977777.77778,15383.5763979856
20481779,,3.11,,
20817266,,3.1,,
21153052,,3.09,24450604877.6081,1155.89071669257
21488912,,3.08,18272123664.4715,850.304578624232
21824425,,3.07,25605249381.7597,1173.23810525517
22159650,,3.06,28344705966.6389,1279.11377848123
22494035,,3.05,28630474727.9023,1272.80320401009
22828869,,3.05,24256667553.2569,1062.54341227446
23168267,,3.05,26436857247.4982,1141.08043154103
23517611,,3.06,31256284543.6155,1329.058546189
23880561,,3.08,31584210365.5447,1322.59063753874
24259561,,3.11,33293199095.4881,1372.37417356256
24653175,,3.15,34733000536.2862,1408.86537993108
25056478,,3.2,52544000116.9037,2097.02283010295
25462302,0.25091993831666065,3.25,72436777342.4554,2844.86331235351
25865776,0.23795923377513334,3.3,52438647921.9226,2027.33720222659
26264681,0.22143805972743397,3.34,51169499890.7722,1948.22468587272
26661398,0.20141480208257653,3.36,56781000100.9448,2129.70836077888
27061047,0.17922444299167944,3.36,58082870156.2634,2146.36495899265
27471036,0.15871255866995382,3.34,69252328953.3789,2520.92071606516
27896528,0.14023248481209064,3.3,76961923741.9479,2758.83481652658
28338515,0.12393028088911084,3.25,78676842366.4213,2776.32208825139
28794548,0.1104375654420715,3.2,84307486836.724,2927.89735685135
29262047,0.09883108322318783,3.16,103979106777.911,3553.37750879684
29737093,0.08961870084359613,3.12,79092001998.032,2659.70824247007
30216279,0.08253827638104011,3.1,88416668900.2596,2926.12648531698
30698964,0.07775506691365872,3.08,110934442762.694,3613.62170927636
31184415,0.07503749229061918,3.06,111106191358.197,3562.87605875248
31668949,0.07379470464735179,3.04,126206817196.091,3985.19246874962
32148134,0.07306799768832639,3.02,76636898036.4712,2383.86747065533
32618651,0.07192204900705879,3.0,141352368714.691,4333.48337168025
33079000,0.06986305088648079,2.97,189719984268.485,5735.3599805848
33529326,0.0668668496706763,2.93,228788617201.696,6823.53883710424
33970111,0.06311432143729442,2.88,236741715015.015,6969.11972904571
34402672,0.05938492737293144,2.83,257440000000.0,7483.14033425721
34828170,0.055788176972156565,2.77,258031750000.0,7408.70866363112
35246374,0.052289063704024495,2.72,272149750000.0,7721.35410460355
35657429,0.0490500747698138,2.67,292859000000.0,8213.12512693705
36063459,0.046029981989244455,2.62,298948250000.0,8289.5075682025
36467218,0.04329916255196654,2.58,283523000000.0,7774.73620280001
36870787,0.040926699819553665,2.54,284203750000.0,7708.09911454041
37275652,0.038979876511321974,2.51,268696750000.0,7208.37311355372
37681749,0.03717980880024578,2.49,97724004251.8602,2593.404563368
38087868,0.03547061418458046,2.46,127586973492.177,3349.80630031036
38491972,0.03392915457431771,2.44,164657930452.787,4277.72157290954
38892931,0.032628043085678,2.42,198737095012.282,5109.85224490403
39289878,0.031509389339890004,2.4,232557260817.308,5919.01233837714
39684295,0.030515844010161903,2.38,287530508430.568,7245.44685667197
40080160,0.0296156509758357,2.37,361558037110.419,9020.87332314274
40482788,0.028678856242749694,2.36,332976484577.619,8225.13758261645
40788453,0.027606779980639068,2.35,423627422092.49,10385.9644319555
41261490,0.026379159960249265,2.34,530163281574.658,12848.8641969705
41733271,0.025170524917765905,2.33,545982375701.128,13082.664325572
42202935,0.024006995538964633,2.32,552025140252.246,13080.2547323367
42669500,0.022843736552333217,2.31,526319673731.638,12334.7982453893
43131966,0.021706116546848904,2.3,594749285413.212,13789.060424772
43590368,0.020616680540214028,2.29,557531376217.967,12790.2424732447
44044811,0.01945961757231234,2.28,643628665302.155,14613.041824658
1874121,,4.79,,
1941492,,4.67,,
2009526,,4.52,,
2077578,,4.35,,
2145001,,4.15,,
2211319,,3.95,,
2276034,,3.76,,
2339127,,3.58,,
2401143,,3.43,,
2462928,,3.3,,
2525068,,3.2,,
2587708,,3.11,,
2650486,,3.04,,
2712786,,2.96,,
2773748,,2.88,,
2832759,,2.79,,
2889579,,2.71,,
2944383,,2.64,,
2997417,,2.58,,
3049109,,2.54,,
3099754,,2.51,,
3148096,0.2719103864685194,2.5,,
3193689,0.25988697734537036,2.5,,
3238595,0.24794725609153606,2.52,,
3285599,0.2358782722023087,2.54,,
3335940,0.22392522636082537,2.56,,
3392264,0.21106847816089785,2.58,,
3451947,0.1987284277539603,2.59,,
3504659,0.7435799178638085,2.59,,
3536474,0.17220547138349424,2.58,,
3538171,0.16081787051137256,2.54,2256838857.60997,637.85592120941
3505258,0.15006066616094893,2.48,2069870129.87013,590.505875579775
3442817,0.13942059125949077,2.4,1272835453.42634,369.707232276548
3363108,0.12845249532352634,2.3,1201312829.27524,357.202848575393
3283667,0.11694253736070438,2.18,1315158636.67553,400.515593762192
3217348,0.10505543539106264,2.06,1468317435.20148,456.374933276273
3168221,0.09311242646880118,1.94,1596968946.23708,504.059842642233
3133089,0.08138953317836341,1.83,1639492444.76152,523.284410700367
3108687,0.07076933667579055,1.75,1893726437.26462,609.17165368466
3089022,0.061508180588018206,1.69,1845482173.02732,597.432898792278
3069591,0.053752984512299165,1.65,1911563668.85006,622.740922945281
3050687,0.04785808831194033,1.63,2118467913.37873,694.423455373229
3033978,0.04317766521554554,1.64,2376335048.39976,783.241214960091
3017932,0.03976224826354948,1.65,2807061008.69084,930.125472654125
3000720,0.036991183767868654,1.66,3576615240.41616,1191.92100563238
2981269,0.0352199840201901,1.68,4900469950.09033,1643.75688889146
2958307,0.034141218219511806,1.69,6384451606.1421,2158.1480742298
2932618,0.03273528915319604,1.7,9206301700.39619,3139.28071035448
2907618,0.03198497737836681,1.71,11662040713.8753,4010.86138084833
2888092,0.030816171495803114,1.72,8647936747.98704,2994.34047090816
2877319,0.02988898674249665,1.72,9260284937.79781,3218.37829927419
2876538,0.02850650921803169,1.72,10142111334.4961,3525.80719813557
2884229,0.027390240545253013,1.73,10619320048.5857,3681.84469060495
2897584,0.025538438283085305,1.73,11121465767.4067,3838.17387997786
2912403,0.024378494322386018,1.73,11609512939.7542,3986.23162376713
2925553,0.023243421171817078,1.74,10553337672.9872,3607.28929855361
2936146,0.021797273774099186,1.74,10546135160.031,3591.82805221639
2944809,0.02071455713804962,1.75,11527458565.7334,3914.52785436696
54211,,4.82,,
55438,,4.66,,
56225,,4.47,,
56695,,4.27,,
57032,,4.06,,
57360,,3.84,,
57715,,3.63,,
58055,,3.42,,
58386,,3.23,,
58726,,3.05,,
59063,,2.91,,
59440,,2.79,,
59840,,2.69,,
60243,,2.61,,
60528,,2.55,,
60657,,2.51,,
60586,,2.47,,
60366,,2.45,,
60103,,2.43,,
59980,,2.41,,
60096,,2.39,,
60567,,2.38,,
61345,,2.36,,
62201,,2.35,,
62836,,2.34,,
63026,,2.33,,
62644,,2.32,405463417.11746,6472.39870887477
61833,,2.31,487602457.746416,7885.15892730063
61079,,2.29,596423607.114715,9765.90920740626
61032,,2.27,695304363.031101,11392.2691499861
62149,,2.25,764887117.194486,12306.7176791493
64622,,2.22,872138715.083799,13495.79430054
68235,,2.19,958463184.357542,14045.4745656146
72504,,2.15,1082979720.67039,14938.6815734932
76700,,2.11,1245688268.15642,16239.9878515928
80324,,2.06,1320474860.3352,16439.3563609282
83200,,2.02,1379960893.85475,16583.8758560136
85451,,1.98,1531944134.07821,17927.9594391833
87277,,1.94,1665100558.65922,19077.6874273513
89005,,1.9,1722798882.68156,19355.3335357274
90853,,1.87,1873452513.96648,20617.7504673528
92898,,1.85,1920111731.84358,20670.3670051627
94992,,1.82,1941340782.12291,20436.8871286309
97017,,1.8,2021229050.27933,20833.976357295
98737,,1.79,2228491620.11173,22568.3749910043
100031,,1.77,2330726256.98324,23300.7383630907
100834,,1.77,2424581005.58659,24046.2263769373
101222,,1.76,2615083798.88268,25834.1117784233
101358,,1.76,2745251396.64804,27083.6348596914
101455,,1.76,2498882681.56425,24631.1820522439
101669,,1.77,2390502793.29609,23513.527696809
102046,,1.78,2549720670.39106,24985.0139185797
102560,,1.8,2534636871.50838,24712.4932628907
103159,,1.81,2727849720.67039,26441.6199357378
103774,,1.83,2790849162.01117,26893.0115056581
104341,,1.85,2962905027.93296,28396.9084228616
104872,,1.87,2983636871.50838,28452.1706146796
105366,,1.89,3092430167.59777,29350.8050189137
10276477,0.09636723826335887,3.45,18606786874.23,1810.61923013403
10483000,0.0925727725382631,3.54,19683055213.3498,1877.6166377325
10742000,0.08888120547718685,3.44,19922723709.262,1854.65683385421
10950000,0.0853835607508184,3.33,21539926083.548,1967.11653731032
11167000,0.08205744400641313,3.15,23801097547.3177,2131.37794817925
11388000,0.07902283229498747,2.98,25977153096.6514,2281.09879668523
11651000,0.07633652313617693,2.88,27309889125.322,2343.99529013149
11799000,0.07403582829872893,2.85,30444618658.3044,2580.27109571187
